Matricule	Qualite	Nom usuel	Prenom usuel	Etat	Date naissance	Date de deces	Groupe politique	Type d'app au grp politique	Commission permanente	Circonscription	Fonction au Bureau du Senat	Courrier electronique	PCS INSEE	Categorie professionnelle	Description de la profession
19329S	M.	Hassani	Abdallah	ACTIF	02/07/1954		LaREM		commission de la culture	Mayotte		a.hassani@senat.fr	Retraités	Enseignement (Retraités)	Ancien enseignant
95037J	M.	Haut	Claude	ACTIF	22/12/1944		LaREM		commission des affaires étrangères	Vaucluse		c.haut@senat.fr	Personnels de direction de la fonction publique	Fonctionnaires (Retraités)	Directeur territorial
000406	M.	Heder	Léopold	ANCIEN	16/08/1918	09/06/1978	SOCR	Apparenté	commission des lois	Guyane			Professions intermédiaires administratives de la fonction publique	Fonctionnaires (Cadres moyens)	Directeur des hopitaux
92025R	Mme	Heinis	Anne	ANCIEN	16/11/1933	18/12/2009	RI		commission de l'économie	Manche		Non public	Autres personnes sans activité professionnelle	Sans profession déclarée	Inspecteur régional d'action sociale
000185	M.	Henneguelle	Henri	ANCIEN	11/06/1908	27/12/1983	SOCR		commission des finances	Pas-de-Calais			Anciens cadres	Enseignement (Retraités)	Instituteur retraité
01033N	Mme	Henneron	Françoise	ANCIEN	03/02/1948		Les Républicains		commission des affaires sociales	Pas-de-Calais		f.henneron@senat.fr	Autres personnes sans activité professionnelle	Salariés (Employés)	Secrétaire
19569H	M.	Henno	Olivier	ACTIF	21/04/1962		UC		commission des affaires sociales	Nord		o.henno@senat.fr	Cadres administratifs et commerciaux d'entreprise	Salariés (Cadres divers)	Cadre commercial
000110	M.	Henriet	Jacques	ANCIEN	06/10/1904	14/06/1988	U.R.E.I.		commission des affaires sociales	Doubs			Medecins libéraux généralistes	Professions médicales (Chirurgiens)	Chirurgien
77028F	M.	Henry	Marcel	ANCIEN	30/10/1926		UC		commission de la culture	Mayotte			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Gérant de société
000243	M.	Heon	Gustave	ANCIEN	30/05/1910	29/09/1981	G.D.		commission des finances	Eure	Secrétaire du Sénat		Instituteurs et assimilés	Enseignement secondaire	Professeur
95038K	M.	Hérisson	Pierre	ANCIEN	12/06/1945		Les Républicains		commission des affaires économiques	Haute-Savoie		p.herisson@senat.fr	Artisans, commercants et chefs d'entreprise	Commerce et industrie (Chefs d'entreprises)	Entrepreneur
04075M	Mme	Hermange	Marie-Thérèse	ANCIEN	17/09/1947		Les Républicains		commission des affaires sociales	Paris		mt.hermange@senat.fr	Autres personnes sans activité professionnelle	Sans profession déclarée	Sans profession déclarée
74022L	M.	Herment	Rémi	ANCIEN	23/06/1932		UC		commission de l'économie	Meuse			Agriculteurs exploitants	Professions agricoles	Agriculteur
08027V	M.	Hervé	Edmond	ANCIEN	03/12/1942		SOCR		commission des finances	Ille-et-Vilaine		e.herve@senat.fr	Professeurs, professions scientifiques	Enseignement supérieur (sauf Professeurs de médecine)	Enseignant
14179A	M.	Hervé	Loïc	ACTIF	08/06/1980		UC		commission des lois	Haute-Savoie		l.herve@senat.fr	Cadres de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Cadre territorial
01022K	Mme	Herviaux	Odette	ANCIEN	06/01/1948		SOCR		commission de l'aménagement du territoire et du développement durable	Morbihan		o.herviaux@senat.fr	Autres personnes sans activité professionnelle	Enseignement secondaire	Professeur de lettres et d'histoire
19685L	Mme	Herzog	Christine	ACTIF	30/12/1968		NI		commission de l'aménagement du territoire et du développement durable	Moselle		c.herzog@senat.fr	Commercants et assimilés	Commerce et industrie (Chefs d'entreprises)	Gérante
97008M	M.	Hesling	Roger	ANCIEN	19/08/1931		SOCR		commission de la culture	Moselle		Non public	Anciens agriculteurs exploitants	Professions agricoles	Agriculteur
00004D	M.	Hethener	Alain	ANCIEN	15/04/1946		RPR		commission des affaires sociales	Moselle			Professions libérales	Professions judiciaires et libérales (Divers)	Urbaniste
05001W	Mme	Hoarau	Gélita	ANCIEN	15/01/1956		CRCE		commission de l'aménagement du territoire et du développement durable	La Réunion		gelita.hoarau974@wanadoo.fr	Professeurs, professions scientifiques	Enseignement (Divers)	Enseignante
77029G	M.	Hoeffel	Daniel	ANCIEN	23/01/1929		Les Républicains		commission des lois	Bas-Rhin	Vice-président du Sénat	Non public	Autres personnes sans activité professionnelle	Sans profession déclarée	Sans profession déclarée
000732	M.	Houdet	Roger	ANCIEN	14/06/1899	25/08/1987	RI		commission de la culture	Seine-Maritime			Ingenieurs et cadres techniques d'entreprise	Salariés (Ingénieurs)	Ingenieur general du Génie Rural
04048J	M.	Houel	Michel	ANCIEN	08/11/1942	30/11/2016	Les Républicains		commission des affaires économiques	Seine-et-Marne		m.houel@senat.fr	Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Gérant de société
19333N	M.	Houllegatte	Jean-Michel	ACTIF	30/05/1958		SOCR		commission de l'aménagement du territoire et du développement durable	Manche		jm.houllegatte@senat.fr	Cadres de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Administrateur territorial contractuel
08069G	M.	Houpert	Alain	ACTIF	13/08/1957		Les Républicains		commission des finances	Côte-d'Or		a.houpert@senat.fr	Professions libérales	Professions médicales (Médecins)	Médecin radiologue
83035S	M.	Huchon	Jean	ANCIEN	04/09/1928	08/12/2009	UC		commission de l'économie	Maine-et-Loire			Agriculteurs exploitants	Professions agricoles	Exploitant agricole
04078Q	M.	Hue	Robert	ANCIEN	19/10/1946		RDSE		commission des affaires étrangères	Val-d'Oise		robert.hue-senat@wanadoo.fr	Professions intermédiaires de la santé et du travail social	Professions médicales (Autres)	Infirmier
80021X	M.	Hugo	Bernard Charles	ANCIEN	04/05/1925	15/10/2001	RPR		commission de l'économie	Ardèche			Instituteurs et assimilés	Enseignement secondaire	Proviseur de lycée
58644T	M.	Hugo	Bernard Michel	ANCIEN	04/10/1930		C		commission de l'économie	Yvelines			Instituteurs et assimilés	Enseignement secondaire	Professeur
19399H	M.	Hugonet	Jean-Raymond	ACTIF	10/01/1958		Les Républicains		commission de la culture	Essonne		jr.hugonet@senat.fr	Professions de l'information des arts et spectacles	Professions judiciaires et libérales (Divers)	Musicien
92026S	M.	Hugot	Jean-Paul	ANCIEN	02/04/1948	14/07/2013	RPR		commission de la culture	Maine-et-Loire		Non public	Professeurs, professions scientifiques	Enseignement supérieur (sauf Professeurs de médecine)	Maître de conférences
000040	M.	Hugues	Emile	ANCIEN	07/04/1901	10/02/1966	G.D.		commission des lois	Alpes-Maritimes			Huissiers de justice, officiers ministériels et professions libérales divers	Professions judiciaires et libérales (Officiers ministériels)	Notaire
92027T	M.	Huguet	Roland	ANCIEN	17/10/1933		SOCR		commission des affaires sociales	Pas-de-Calais		Non public	Instituteurs et assimilés	Enseignement secondaire	Professeur
98028V	M.	Humbert	Jean-François	ANCIEN	17/10/1952		Les Républicains		commission de la culture	Doubs	Secrétaire du Sénat	Non public	Autres personnes sans activité professionnelle	Salariés (Cadres divers)	Chargé de mission
04041B	Mme	Hummel	Christiane	ANCIEN	08/05/1942		Les Républicains		commission de la culture	Var		c.hummel@senat.fr	Professeurs, professions scientifiques	Enseignement (Retraités)	Chimiste
04097T	M.	Huré	Benoît	ACTIF	05/06/1953		Les Républicains		commission de l'aménagement du territoire et du développement durable	Ardennes		benoit.hure@orange.fr	Agriculteurs exploitants	Professions agricoles	Agriculteur
04068N	Mme	Hurel	Sandrine	ANCIEN	07/08/1968		SOCR		commission de l'économie	Seine-Maritime		Non public	Cadres de la fonction publique	Salariés (Permanents politiques)	Assistante parlementaire
83036T	M.	Huriet	Claude	ANCIEN	24/05/1930		UC		commission des affaires sociales	Meurthe-et-Moselle	Questeur du Sénat	Non public	Médecins hospitaliers (sans activité libérale)	Professions médicales (Professeurs)	Professeur agrégé de médecine
11048N	M.	Husson	Jean-François	ACTIF	17/04/1961		Les Républicains		commission des finances	Meurthe-et-Moselle		jf.husson@senat.fr	Autres personnes sans activité professionnelle	Autres professions	Agent d'assurance
83037U	M.	Husson	Roger	ANCIEN	12/06/1924	28/04/2000	RPR		commission des affaires étrangères	Moselle	Secrétaire du Sénat	Non public	Cadres d'entreprise	Salariés (Cadres divers)	Agent de maîtrise
95039L	M.	Hyest	Jean-Jacques	ANCIEN	02/03/1943		Les Républicains		commission des lois	Seine-et-Marne		jj.hyest@senat.fr	Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Administrateur territorial
19591F	M.	Iacovelli	Xavier	ACTIF	31/03/1981		LaREM	Rattaché	commission des affaires économiques	Hauts-de-Seine		x.iacovelli@senat.fr	Professions intermédiaires administratives de la fonction publique	Salariés (Employés)	Attaché territorial contractuel
04062G	M.	Ibrahim Ramadani	Soibahadine	ANCIEN	05/03/1949		Les Républicains		commission de la culture	Mayotte		s.ibrahim@senat.fr	Instituteurs et assimilés	Enseignement (Divers)	Chargé de mission auprès du vice-recteur de Mayotte
14213J	Mme	Imbert	Corinne	ACTIF	20/11/1958		Les Républicains	Rattaché	commission des affaires sociales	Charente-Maritime		c.imbert@senat.fr	Autres personnes sans activité professionnelle	Professions médicales (Pharmaciens)	Pharmacienne
14044W	Mme	Iriti	Teura	ANCIEN	07/01/1965		UC	Apparenté	commission des finances	Polynésie française		t.iriti@senat.fr	Professions intermédiaires de la santé et du travail social	Salariés (Permanents politiques)	Représentante de l'Assemblée de Polynésie
000273	M.	Isautier	Alfred	ANCIEN	29/06/1911	04/09/1984	RI		commission de l'économie	La Réunion			Professions libérales	Professions judiciaires et libérales (Divers)	Ingénieur Conseil
000308	M.	Jacquet	Marc	ANCIEN	17/02/1913	18/04/1983	RPR		commission des finances	Seine-et-Marne			Professions libérales	Professions judiciaires et libérales (Divers)	Administrateur de sociétés
19551W	M.	Jacquin	Olivier	ACTIF	08/05/1964		SOCR		commission de l'aménagement du territoire et du développement durable	Meurthe-et-Moselle		o.jacquin@senat.fr	Agriculteurs exploitants	Professions agricoles	Agriculteur
000403	M.	Jaffar El Amjad	Said Mohamed	ANCIEN	14/04/1918	22/10/1993	NI		commission des affaires étrangères	Comores			Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Administrateur des Comores
000207	M.	Jager	René	ANCIEN	08/03/1909	28/07/1983	U.C.D.P.		commission de l'économie	Moselle	Questeur du Sénat		Journalistes, secrétaires de rédaction	Professions libérales (Journalistes)	Journaliste
000680	M.	Jamain	Eugène	ANCIEN	02/05/1891	24/10/1970	CRARS		commission de l'économie	Cher			Ouvriers	Salariés (Ouvriers)	Minotier
000630	M.	Janetti	Maurice	ANCIEN	01/03/1933	22/07/1999	SOCR		commission de l'économie	Var			Instituteurs et assimilés	Enseignement primaire	Instituteur (directeur d'école)
19511N	M.	Janssens	Jean-Marie	ACTIF	19/03/1953		UC		commission des affaires économiques	Loir-et-Cher		jm.janssens@senat.fr	Anciens agriculteurs exploitants	Professions agricoles	Ancien agriculteur-éleveur
58348N	M.	Jargot	Paul	ANCIEN	31/03/1925	04/07/2003	C		commission des finances	Isère			Instituteurs et assimilés	Enseignement (Divers)	Maître assistant associé
98027U	M.	Jarlier	Pierre	ANCIEN	14/07/1954		UC		commission des finances	Cantal		p.jarlier@senat.fr	Autres personnes sans activité professionnelle	Salariés (Permanents politiques)	Architecte
06001B	Mme	Jarraud-Vergnolle	Annie	ANCIEN	07/02/1948		SOCR		commission des affaires sociales	Pyrénées-Atlantiques		a.jarraud@senat.fr	Artisans, commercants et chefs d'entreprise	Commerce et industrie (Chefs d'entreprises)	Directrice d'entreprises de l'économie sociale
59539X	M.	Jarrot	André	ANCIEN	13/12/1909	21/04/2000	RPR		commission des affaires étrangères	Saône-et-Loire			Ouvriers	Salariés (Ouvriers)	Electro-mécanicien
19715Y	Mme	Jasmin	Victoire	ACTIF	23/12/1955		SOCR		commission des affaires sociales	Guadeloupe		v.jasmin@senat.fr	Professions intermédiaires de la santé et du travail social	Salariés (Cadres divers)	Cadre de santé
000171	M.	Javelly	Maxime	ANCIEN	05/11/1907	26/02/1983	SOCR		commission de l'économie	Alpes de Haute-Provence			Commercants et assimilés	Commerce et industrie (Commercants)	Commerçant
74024N	M.	Jeambrun	Pierre	ANCIEN	04/06/1921	07/02/2001	RDSE		commission de la culture	Jura			Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Receveur des Finances
14233N	Mme	Jean	Geneviève	ANCIEN	28/08/1945		SOCR		commission de l'aménagement du territoire et du développement durable	Vaucluse		g.jean@senat.fr	Medecins libéraux généralistes	Professions médicales (Autres)	éducatrice spécialisée
08067E	M.	Jeannerot	Claude	ANCIEN	10/04/1945		SOCR		commission des affaires sociales	Doubs		c.jeannerot@senat.fr	Cadres de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Directeur général adjoint de l'AFPA
14121F	M.	Jeansannetas	Éric	ACTIF	21/10/1962		RDSE		commission des finances	Creuse		e.jeansannetas@senat.fr	Instituteurs et assimilés	Enseignement primaire	Professeur des écoles
04037F	M.	Jégou	Jean-Jacques	ANCIEN	24/03/1945		UC		commission des finances	Val-de-Marne		jj.jegou@senat.fr	Artisans, commercants et chefs d'entreprise	Commerce et industrie (Chefs d'entreprises)	Chef d'entreprise
08044W	Mme	Joissains	Sophie	ACTIF	25/10/1969		UC		commission des lois	Bouches-du-Rhône		s.joissains@senat.fr	Professions libérales	Salariés (Cadres divers)	Juriste criminologue
83038V	M.	Jolibois	Charles	ANCIEN	04/10/1928	23/01/2013	RI		commission des lois	Maine-et-Loire			Avocats	Professions judiciaires et libérales (Avocats)	Avocat
95040D	M.	Joly	Bernard	ANCIEN	26/10/1934	10/01/2020	RDSE		commission de l'économie	Haute-Saône	Secrétaire du Sénat	Non public	Chirurgiens-dentistes (libéraux ou salariés)	Professions médicales (Dentistes)	Chirurgien dentiste
19531S	M.	Joly	Patrice	ACTIF	05/05/1957		SOCR		commission des finances	Nièvre		p.joly@senat.fr	Cadres de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Conseiller de chambre régionale des comptes
19683J	M.	Jomier	Bernard	ACTIF	09/10/1963		SOCR	Apparenté	commission des affaires sociales	Paris		b.jomier@senat.fr	Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
06006G	M.	Josselin	Charles	ANCIEN	31/03/1938		SOCR		commission de l'économie	Côtes-d'Armor		Non public	Cadres et Professions intellectuelles supérieures	Salariés (Cadres divers)	Économiste
09001P	Mme	Jouanno	Chantal	ANCIEN	12/07/1969		UC		commission de l'aménagement du territoire et du développement durable	Paris		c.jouanno@senat.fr	Autres personnes sans activité professionnelle	Fonctionnaires (Hauts Fonctionnaires)	Membre du corps préfectoral
58650R	M.	Jouany	André	ANCIEN	24/11/1925	04/01/2003	G.D.		commission des affaires sociales	Tarn-et-Garonne			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Chef d'entreprise
14097Y	Mme	Jourda	Gisèle	ACTIF	24/03/1955		SOCR		commission des affaires étrangères	Aude		g.jourda@senat.fr	Professions de l'information des arts et spectacles	Fonctionnaires (Cadres moyens)	Cadre territorial
19447X	Mme	Jourda	Muriel	ACTIF	27/10/1967		Les Républicains		commission des lois	Morbihan		m.jourda@senat.fr	Avocats	Professions judiciaires et libérales (Avocats)	Avocat
89004L	M.	Jourdain	André	ANCIEN	13/06/1935	16/09/2019	NI		commission des affaires sociales	Jura		Non public	Professeurs, professions scientifiques	Enseignement (Divers)	Professeur
58039C	M.	Jourdan	Pierre	ANCIEN	23/06/1923		U.R.E.I.		commission des lois	Ardèche			Agriculteurs exploitants	Professions agricoles	Agriculteur exploitant
98034T	M.	Journet	Alain	ANCIEN	25/06/1941		SOCR		commission de la culture	Gard		JOURNET.Alain@wanadoo.fr	Autres personnes sans activité professionnelle	Fonctionnaires (Divers)	Géomètre-expert en disponibilité
14241N	Mme	Jouve	Mireille	ACTIF	30/12/1960		RDSE		commission de la culture	Bouches-du-Rhône		m.jouve@senat.fr	Instituteurs et assimilés	Enseignement primaire	Professeur
95041E	M.	Joyandet	Alain	ACTIF	15/01/1954		Les Républicains		commission des finances	Haute-Saône		a.joyandet@senat.fr	Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Editeur
58303Y	M.	Jozeau-Marigne	Léon	ANCIEN	21/07/1909	18/07/2003	U.R.E.I.		commission des lois	Manche	Vice-président du Sénat		Huissiers de justice, officiers ministériels et professions libérales divers	Professions judiciaires et libérales (Officiers ministériels)	Avoué
01030K	M.	Juilhard	Jean-Marc	ANCIEN	05/02/1940		Les Républicains		commission des affaires sociales	Puy-de-Dôme		jeanmarc.juilhard@wanadoo.fr	Autres personnes sans activité professionnelle	Professions agricoles	Arboriculteur
59540Q	M.	Jung	Louis	ANCIEN	18/02/1917	22/10/2015	UC		commission des affaires étrangères	Bas-Rhin			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Directeur de société
000225	M.	Junillon	Lucien	ANCIEN	31/10/1909	29/10/1984	NI		commission de l'économie	Drôme			Professions intermédiaires administratives de la fonction publique	Fonctionnaires (Cadres moyens)	Administrateur des P et T
